alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
mozi-026-condemnation-of-music-i__align-0001,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,4,5,exact_or_near_exact,0.93,1,26.1 - 26.4,子墨子言曰：仁之事者，必務求興天下之利，除天下之害。將以為法乎天下，利人乎即為，不利人乎即止。且夫仁者之為天下度也，非為其目之所美，耳之所樂，口之所甘，身體之所安，以此虧奪民衣食之財，仁者弗為也。,26.1 - 26.5,"Motse said: Those gentlemen in the world who want to practise magnanimity and righteousness cannot but examine the origin of righteousness. Since we want to examine the origin of righteousness, then where does it originate? Motse said: Righteousness does not originate with the stupid and humble but with the honourable and wise. How do we know it does not originate with the dull and humble but with the honourable and wise? For, righteousness is the standard.","Motse said: Those gentlemen in the world who want to practise magnanimity and righteousness cannot but examine the origin of righteousness. Since we want to examine the origin of righteousness, then where does it originate? Motse said: Righteousness does not originate with the stupid and humble but with the honourable and wise. How do we know it does not originate with the dull and humble but with the honourable and wise? For, righteousness is the standard.",[]
mozi-026-condemnation-of-music-i__align-0002,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,1,4,exact_or_near_exact,0.93,5,26.5,是故子墨子之所以非樂者，非以大鐘鳴鼓、琴瑟竽笙之聲以為不樂也，非以刻鏤華文章之色以為不美也，非以犓豢煎炙之味以為不甘也，非以高台厚榭邃野之居以為不安也。,26.6 - 26.9,"How do we know righteousness is the standard? For, with righteousness the world will be orderly and without it the world will be disorderly. Therefore righteousness is known to be the standard. As the dull and the humble cannot make the standard, and only the wise and honourable can, therefore I know righteousness does not come from the stupid and humble but from the honourable and wise.","How do we know righteousness is the standard? For, with righteousness the world will be orderly and without it the world will be disorderly. Therefore righteousness is known to be the standard. As the dull and the humble cannot make the standard, and only the wise and honourable can, therefore I know righteousness does not come from the stupid and humble but from the honourable and wise.",[]
mozi-026-condemnation-of-music-i__align-0003,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,1,3,exact_or_near_exact,0.93,6,26.6,雖身知其安也，口知其甘也，目知其美也，耳知其樂也，然上考之不中聖王之事，下度之不中萬民之利。,26.10 - 26.12,"Now who is honourable and who is wise? Heaven is honourable, Heaven is wise. So, then, righteousness must originate with Heaven.","Now who is honourable and who is wise? Heaven is honourable, Heaven is wise. So, then, righteousness must originate with Heaven.",[]
mozi-026-condemnation-of-music-i__align-0004,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,7,26.7 - 26.9,是故子墨子曰：為樂非也。今王公大人雖無造為樂器，以為事乎國家，非直掊潦水、拆壤垣而為之也，將必厚措斂乎萬民，以為大鐘鳴鼓、琴瑟竽笙之聲。,26.13 - 26.18,"People in the world would say; That the emperor is more honourable than the feudal lords and that the feudal lords are more honourable than the ministers, we clearly see. But that Heaven is more honour-able and wise than the emperor, we do not see."" Motse said: I know Heaven is more honourable and wise than the emperor for a reason: When the emperor practises virtue Heaven rewards, when the emperor does evil Heaven punishes. When there are disease and calamities the emperor will purify and bathe himself and prepare clean cakes and wine to do sacrifice and libation to Heaven and the spirits. Heaven then removes them. But I have not yet heard of Heaven invoking the emperor for blessing. So I know Heaven is more honourable and wise than the emperor.","People in the world would say; That the emperor is more honourable than the feudal lords and that the feudal lords are more honourable than the ministers, we clearly see. But that Heaven is more honour-able and wise than the emperor, we do not see."" Motse said: I know Heaven is more honourable and wise than the emperor for a reason: When the emperor practises virtue Heaven rewards, when the emperor does evil Heaven punishes. When there are disease and calamities the emperor will purify and bathe himself and prepare clean cakes and wine to do sacrifice and libation to Heaven and the spirits. Heaven then removes them. But I have not yet heard of Heaven invoking the emperor for blessing. So I know Heaven is more honourable and wise than the emperor.",[]
mozi-026-condemnation-of-music-i__align-0005,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,5,4,exact_or_near_exact,0.93,10,26.10 - 26.14,古者聖王，亦嘗厚措斂乎萬民，以為舟車。既以成矣，曰：「吾將惡許用之？」曰：「舟用之水，車用之陸，君子息其足焉，小人休其肩背焉。,26.19 - 26.22,"And, this is not all. We also learn of this from the book of the ancient kings which instructs us the vast and ineffable Tao of Heaven. It says: ‘‘ Brilliant and perspicacious Heaven on High, who enlightens and watches over the earth below! This shows Heaven is more honourable and wise than the emperor.","And, this is not all. We also learn of this from the book of the ancient kings which instructs us the vast and ineffable Tao of Heaven. It says: ‘‘ Brilliant and perspicacious Heaven on High, who enlightens and watches over the earth below! This shows Heaven is more honourable and wise than the emperor.",[]
mozi-026-condemnation-of-music-i__align-0006,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,15,26.15,」故萬民出財繼而予之，不敢以為慼恨者，何也？,26.23,But is there yet any one more honourable and wise than Heaven?,But is there yet any one more honourable and wise than Heaven?,[]
mozi-026-condemnation-of-music-i__align-0007,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,2,2,exact_or_near_exact,0.93,16,26.16 - 26.17,以其反中民之利也。然則樂器反中民之利，亦若此，即我弗敢非也。,26.24 - 26.25,"Heaven is really the most honourable and wise. Therefore, righteousness surely comes from Heaven.","Heaven is really the most honourable and wise. Therefore, righteousness surely comes from Heaven.",[]
mozi-026-condemnation-of-music-i__align-0008,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,18,26.18 - 26.21,然則當用樂器，譬之若聖王之為舟車也，即我弗敢非也。民有三患，饑者不得食，寒者不得衣，勞者不得息，三者民之巨患也。然即當為之撞巨鐘、擊鳴鼓、彈琴瑟、吹竽笙而揚干戚，民衣食之財，將安可得乎？即我以為未必然也。,26.26 - 26.31,"And hence Motse said: If the gentlemen of the world really desire to follow the way and benefit the people, they must not disobey the will of Heaven, the origin of magnanimity and righteousness. Now that we must obey the will of Heaven, what does the will of Heaven desire and what does it abominate? Motse said: The will of Heaven abominates the large state which attacks small states, the large house which molests small houses, the strong who plunder the weak, the clever who deceive the stupid, and the honoured who disdain the humble — these are what the will of Heaven abominates. On the other hand, it desires people having energy to work for each other, those knowing the way to teach each other, and those possessing wealth to share with each other. ' and those possessing wealth to share with each other. And it desires the superior diligently to attend to government and the subordinates diligently to attend to their work.","And hence Motse said: If the gentlemen of the world really desire to follow the way and benefit the people, they must not disobey the will of Heaven, the origin of magnanimity and righteousness. Now that we must obey the will of Heaven, what does the will of Heaven desire and what does it abominate? Motse said: The will of Heaven abominates the large state which attacks small states, the large house which molests small houses, the strong who plunder the weak, the clever who deceive the stupid, and the honoured who disdain the humble — these are what the will of Heaven abominates. On the other hand, it desires people having energy to work for each other, those knowing the way to teach each other, and those possessing wealth to share with each other. ' and those possessing wealth to share with each other. And it desires the superior diligently to attend to government and the subordinates diligently to attend to their work.",[]
mozi-026-condemnation-of-music-i__align-0009,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,22,26.22 - 26.24,意捨此，今有大國即攻小國，有大家即伐小家，強劫弱，眾暴寡，詐欺愚，貴傲賤，寇亂盜賊並興，不可禁止也。然即當為之撞巨鐘、擊鳴鼓、彈琴瑟、吹竽笙而揚干戚，天下之亂也，將安可得而治與？即我未必然也。,26.32 - 26.37,"When the superior attends to the government diligently, the country will be orderly. When the subordinates attend to work diligently, wealth will be abundant. When the country is orderly and wealth is abundant, within the state there will be wherewith to prepare clean cakes and wine to sacrifice to God and the spirits, and in relation with outside countries there will be wherewith to furnish rings, stones, pearls, and jades by which to befriend surrounding neighbours. With the grudges of the feudal lords inactive and fighting on the borders suspended, and the people within provided with food and rest, the emperor and the ministers and the superiors and subordinates will be gracious and loyal respectively, and father and son and elder and younger brothers will be affectionate and filial respectively. Therefore when the principle of obeying the will of Heaven is understood and widely practised in the world, then justice and government will be orderly, the multitudes will be harmonious, the country will be wealthy, the supplies will be plenteous, and the people will be warmly clothed and sufficiently fed, peaceful and without worry. Therefore Motse said: If the gentlemen of the world really desire to follow the way and benefit the people they must carefully investigate the principle that the will of Heaven is the origin of magnanimity and righteousness.","When the superior attends to the government diligently, the country will be orderly. When the subordinates attend to work diligently, wealth will be abundant. When the country is orderly and wealth is abundant, within the state there will be wherewith to prepare clean cakes and wine to sacrifice to God and the spirits, and in relation with outside countries there will be wherewith to furnish rings, stones, pearls, and jades by which to befriend surrounding neighbours. With the grudges of the feudal lords inactive and fighting on the borders suspended, and the people within provided with food and rest, the emperor and the ministers and the superiors and subordinates will be gracious and loyal respectively, and father and son and elder and younger brothers will be affectionate and filial respectively. Therefore when the principle of obeying the will of Heaven is understood and widely practised in the world, then justice and government will be orderly, the multitudes will be harmonious, the country will be wealthy, the supplies will be plenteous, and the people will be warmly clothed and sufficiently fed, peaceful and without worry. Therefore Motse said: If the gentlemen of the world really desire to follow the way and benefit the people they must carefully investigate the principle that the will of Heaven is the origin of magnanimity and righteousness.",[]
mozi-026-condemnation-of-music-i__align-0010,mozi,mozi-026-condemnation-of-music-i,chapter,sentence,grouped,False,,2,6,exact_or_near_exact,0.93,25,26.25 - 26.26,是故子墨子曰：姑嘗厚措斂乎萬民，以為大鐘鳴鼓、琴瑟竽笙之聲，以求興天下之利，除天下之害，而無補也。,26.38 - 26.43,"The rule of Heaven over the world is not unlike the rule of the feudal lord over the state. In ruling the state does mutual disadvantage? If leading a large state one attacks small states, if leading a large house one molests small houses — if by doing this one seeks reward and commendation (from the feudal lord) he cannot obtain it. On the contrary, punishment will visit him. Now, the rule of Heaven over the world is not unlike this. If leading a large state one attacks small states, if leading a large house one molests small houses — if by doing this one seeks reward and commendation (from Heaven) he cannot obtain it.","The rule of Heaven over the world is not unlike the rule of the feudal lord over the state. In ruling the state does mutual disadvantage? If leading a large state one attacks small states, if leading a large house one molests small houses — if by doing this one seeks reward and commendation (from the feudal lord) he cannot obtain it. On the contrary, punishment will visit him. Now, the rule of Heaven over the world is not unlike this. If leading a large state one attacks small states, if leading a large house one molests small houses — if by doing this one seeks reward and commendation (from Heaven) he cannot obtain it.",[]
