alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-08-taibo__001__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,1,論語 8.1,子曰：「泰伯，其可謂至德也已矣！三以天下讓，民無得而稱焉。」,Analects I.1,"The Master said, ""T'ai-po may be said to have reached the highest point of virtuous action. Thrice he declined the kingdom, and the people in ignorance of his motives could not express their approbation of his conduct."""
lunyu__book-08-taibo__002__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,2,論語 8.2,子曰：「恭而無禮則勞，愼而無禮則葸，勇而無禮則亂，直而無禮則絞。君子篤於親，則民興於仁。故舊不遺，則民不偷。」,Analects II.2,"The Master said, ""Respectfulness, without the rules of propriety, becomes laborious bustle; carefulness, without the rules of propriety, becomes timidity; boldness, without the rules of propriety, becomes insubordination; straightforwardness, without the rules of propriety, becomes rudeness. ""When those who are in high stations perform well all their duties to their relations, the people are aroused to virtue. When old friends are not neglected by them, the people are preserved from meanness."""
lunyu__book-08-taibo__003__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,3,論語 8.3,曾子有疾，召門弟子曰：「啟予足！啟予手！詩云：『戰戰兢兢，如臨深淵，如履薄冰。』而今而後，吾知免夫！小子！」,Analects III.3,"The philosopher Tsang being ill, he called to him the disciples of his school, and said, ""Uncover my feet, uncover my hands. It is said in the Book of Poetry, 'We should be apprehensive and cautious, as if on the brink of a deep gulf, as if treading on thin ice,' and so have I been. Now and hereafter, I know my escape from all injury to my person, O ye, my little children."""
lunyu__book-08-taibo__004__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,4,論語 8.4,曾子有疾，孟敬子問之。曾子言曰：「鳥之將死，其鳴也哀，人之將死，其言也善。君子所貴乎道者三：動容貌，斯遠暴慢矣；正顏色，斯近信矣；出辭氣，斯遠鄙倍矣；籩豆之事，則有司存。」,Analects IV.4,"The philosopher Tsang being ill, Meng Chang went to ask how he was. Tsang said to him, ""When a bird is about to die, its notes are mournful; when a man is about to die, his words are good. ""There are three principles of conduct which the man of high rank should consider specially important:—that in his deportment and manner he keep from violence and heedlessness; that in regulating his countenance he keep near to sincerity; and that in his words and tones he keep far from lowness and impropriety. As to such matters as attending to the sacrificial vessels, there are the proper officers for them."""
lunyu__book-08-taibo__005__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,5,論語 8.5,曾子曰：「以能問於不能，以多問於寡，有若無，實若虛，犯而不校。昔者吾友，嘗從事於斯矣。」,Analects V.5,"The philosopher Tsang said, ""Gifted with ability, and yet putting questions to those who were not so; possessed of much, and yet putting questions to those possessed of little; having, as though he had not; full, and yet counting himself as empty; offended against, and yet entering into no altercation; formerly I had a friend who pursued this style of conduct."""
lunyu__book-08-taibo__006__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,6,論語 8.6,曾子曰：「可以託六尺之孤，可以寄百里之命，臨大節而不可奪也。君子人與？君子人也！」,Analects VI.6,"The philosopher Tsang said, ""Suppose that there is an individual who can be entrusted with the charge of a young orphan prince, and can be commissioned with authority over a state of a hundred li, and whom no emergency however great can drive from his principles:—is such a man a superior man? He is a superior man indeed."""
lunyu__book-08-taibo__007__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,7,論語 8.7,曾子曰：「士不可以不弘毅，任重而道遠。仁以爲己任，不亦重乎；死而後已，不亦遠乎。」,Analects VII.7,"The philosopher Tsang said, ""The officer may not be without breadth of mind and vigorous endurance. His burden is heavy and his course is long. ""Perfect virtue is the burden which he considers it is his to sustain;—is it not heavy? Only with death does his course stop;—is it not long?"
lunyu__book-08-taibo__008__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,8,論語 8.8,子曰：「興於詩，立於禮，成於樂。」,Analects VIII.8,"The Master said, ""It is by the Odes that the mind is aroused. ""It is by the Rules of Propriety that the character is established. ""It is from Music that the finish is received."""
lunyu__book-08-taibo__009__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,9,論語 8.9,子曰：「民可使由之，不可使知之。」,Analects IX.9,"The Master said, ""The people may be made to follow a path of action, but they may not be made to understand it."""
lunyu__book-08-taibo__010__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,10,論語 8.10,子曰：「好勇疾貧，亂也。人而不仁，疾之已甚，亂也。」,Analects X.10,"The Master said, ""The man who is fond of daring and is dissatisfied with poverty, will proceed to insubordination. So will the man who is not virtuous, when you carry your dislike of him to an extreme."""
lunyu__book-08-taibo__011__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,11,論語 8.11,子曰：「如有周公之才之美，使驕且吝，其餘不足觀也已！」,Analects XI.11,"The Master said, ""Though a man have abilities as admirable as those of the Duke of Chau, yet if he be proud and niggardly, those other things are really not worth being looked at."""
lunyu__book-08-taibo__012__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,12,論語 8.12,子曰：「三年學，不至於穀，不易得也。」,Analects XII.12,"The Master said, ""It is not easy to find a man who has learned for three years without coming to be good."""
lunyu__book-08-taibo__013__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,13,論語 8.13,子曰：「篤信好學，守死善道。危邦不入，亂邦不居。天下有道則見，無道則隱。邦有道，貧且賤焉，恥也；邦無道，富且貴焉，恥也。」,Analects XIII.13,"The Master said, ""With sincere faith he unites the love of learning; holding firm to death, he is perfecting the excellence of his course. ""Such an one will not enter a tottering State, nor dwell in a disorganized one. When right principles of government prevail in the kingdom, he will show himself; when they are prostrated, he will keep concealed. ""When a country is well-governed, poverty and a mean condition are things to be ashamed of. When a country is ill-governed, riches and honour are things to be ashamed of."""
lunyu__book-08-taibo__014__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,14,論語 8.14,子曰：「不在其位，不謀其政。」,Analects XIV.14,"The Master said, ""He who is not in any particular office, has nothing to do with plans for the administration of its duties."""
lunyu__book-08-taibo__015__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,15,論語 8.15,子曰：「師摯之始，關雎之亂，洋洋乎，盈耳哉！」,Analects XV.15,"The Master said, ""When the music master Chih first entered on his office, the finish of the Kwan Tsu was magnificent;—how it filled the ears!"""
lunyu__book-08-taibo__016__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,16,論語 8.16,子曰：「狂而不直，侗而不愿，悾悾而不信，吾不知之矣！」,Analects XVI.16,"The Master said, ""Ardent and yet not upright; stupid and yet not attentive; simple and yet not sincere:—such persons I do not understand."""
lunyu__book-08-taibo__017__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,17,論語 8.17,子曰：「學如不及，猶恐失之。」,Analects XVII.17,"The Master said, ""Learn as if you could not reach your object, and were always fearing also lest you should lose it."""
lunyu__book-08-taibo__018__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,18,論語 8.18,子曰：「巍巍乎，舜、禹之有天下也，而不與焉。」,Analects XVIII.18,"The Master said, ""How majestic was the manner in which Shun and Yu held possession of the empire, as if it were nothing to them!"""
lunyu__book-08-taibo__019__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,19,論語 8.19,子曰：「大哉，堯之爲君也！巍巍乎，唯天爲大，唯堯則之！蕩蕩乎，民無能名焉！巍巍乎，其有成功也！煥乎，其有文章！」,Analects XIX.19,"The Master said, ""Great indeed was Yao as a sovereign! How majestic was he! It is only Heaven that is grand, and only Yao corresponded to it. How vast was his virtue! The people could find no name for it. ""How majestic was he in the works which he accomplished! How glorious in the elegant regulations which he instituted!"""
lunyu__book-08-taibo__020__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,20,論語 8.20,舜有臣五人，而天下治。武王曰：「予有亂臣十人。」孔子曰：「『才難』，不其然乎？唐虞之際，於斯爲盛，有婦人焉，九人而已。三分天下有其二，以服事殷、周之德，其可謂至德也已矣！」,Analects XX.20,"Shun had five ministers, and the empire was well-governed. King Wu said, ""I have ten able ministers."" Confucius said, ""Is not the saying that talents are difficult to find, true? Only when the dynasties of T'ang and Yu met, were they more abundant than in this of Chau, yet there was a woman among them. The able ministers were no more than nine men. ""King Wan possessed two of the three parts of the empire, and with those he served the dynasty of Yin. The virtue of the house of Chau may be said to have reached the highest point indeed."""
lunyu__book-08-taibo__021__zhwikisource-20260529__legge-cc-v1-1893,book-08-taibo,exact_or_near_exact,0.99,21,論語 8.21,子曰：「禹，吾無間然矣！菲飮食，而致孝乎鬼神；惡衣服，而致美乎黻冕；卑宮室，而盡力乎溝洫。禹，吾無間然矣！」,Analects XXI.21,"The Master said, ""I can find no flaw in the character of Yu. He used himself coarse food and drink, but displayed the utmost filial piety towards the spirits. His ordinary garments were poor, but he displayed the utmost elegance in his sacrificial cap and apron. He lived in a low mean house, but expended all his strength on the ditches and water-channels. I can find nothing like a flaw in Yu."""
