alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
shijing__xiaoya-jienanshan-001__001__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,1,詩經·小雅·節南山之什·001.1,"節南山
節彼南山，維石巖巖。赫赫師尹，民具爾瞻。
憂心如惔，不敢戲談。國既卒斬，何用不監！",節南山.1,"Lofty is that southern hill,
With its masses of rocks!
Awe-inspiring are you, O (Grand-)Master ​Yin,
And the people all look to you!
A fire burns in their grieving hearts;
They do not dare to speak of you even in jest.
The kingdom is verging to extinction;—
How
is it that you do not consider the state of things?"
shijing__xiaoya-jienanshan-001__002__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,2,詩經·小雅·節南山之什·001.2,"節彼南山，有實其猗。赫赫師尹，不平謂何？
天方薦瘥，喪亂弘多。民言無嘉，憯莫懲嗟。",節南山.2,"Lofty is that southern hill,
And vigorously grows the vegetation on it!
Awe-inspiring are you, O (Grand-)Master Yin,
But how is it that you are so unjust?
Heaven is continually redoubling its inflictions;
Deaths and disorder increase and multiply;
No words of satisfaction come from the people;
And yet you do not correct nor bemoan yourself."
shijing__xiaoya-jienanshan-001__003__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,3,詩經·小雅·節南山之什·001.3,"尹氏大師，維周之氐。秉國之均，四方是維。
天子是毗，俾民不迷。不弔昊天，不宜空我師。",節南山.3,"The Grand-Master Yin
Is the foundation of our Kâu,
And the balance of the kingdom is in his hands.
He should be keeping its four quarters together;
He should be aiding the Son of Heaven,
So as to preserve the people from going astray.
O unpitying great Heaven,
It is not right he should reduce us all to such misery!"
shijing__xiaoya-jienanshan-001__004__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,4,詩經·小雅·節南山之什·001.4,"弗躬弗親，庶民弗信；弗問弗仕，勿罔君子？
式夷式已，無小人殆。瑣瑣姻亞，則無膴仕。",節南山.4,"He does nothing himself personally,
And the people have no confidence in him.
Making no enquiry about them, and no trial of their services,
He should not deal deceitfully with superior men.
If he dismissed them on the requirement of justice,
Mean men would not be endangering (the commonweal);
And his mean relatives
Would not be in offices of importance."
shijing__xiaoya-jienanshan-001__005__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,5,詩經·小雅·節南山之什·001.5,"昊天不傭，降此鞠訩。昊天不惠，降此大戾。
君子如屆，俾民心闋。君子如夷，惡怒是違。",節南山.5,"Great Heaven, unjust,
Is sending down these exhausting disorders.
Great Heaven, unkind,
Is sending down these great miseries.
Let superior men come (into office),
And that would bring rest to the people's hearts.
Let superior men execute ​their justice,
And the animosities and angers would disappear."
shijing__xiaoya-jienanshan-001__006__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,6,詩經·小雅·節南山之什·001.6,"不弔昊天，亂靡有定。式月斯生，俾民不寧。
憂心如酲，誰秉國成？不自為政，卒勞百姓。",節南山.6,"O unpitying great Heaven,
There is no end to the disorder!
With every month it continues to grow,
So that the people have no repose.
I am as if intoxicated with the grief of my heart.
Who holds the ordering of the kingdom?
He attends not himself to the government,
And the result is toil and pain to the people."
shijing__xiaoya-jienanshan-001__007__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,7,詩經·小雅·節南山之什·001.7,駕彼四牡，四牡項領。我瞻四方，蹙蹙靡所騁。,節南山.7,"I yoke my four steeds,
My four steeds, long-necked.
I look to the four quarters (of the kingdom);
Distress is everywhere; there is no place I can drive to."
shijing__xiaoya-jienanshan-001__008__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,8,詩經·小雅·節南山之什·001.8,方茂爾惡，相爾矛矣。既夷既懌，如相醻矣。,節南山.8,"Now your evil is rampant,
And I can see your spears.
Anon you are pacified and friendly
as if you were pledging one another."
shijing__xiaoya-jienanshan-001__009__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,9,詩經·小雅·節南山之什·001.9,昊天不平，我王不寧。不懲其心，覆怨其正。,節南山.9,"From great Heaven is the injustice,
And our king has no repose.
(Yet) he will not correct his heart,
And goes on to resent endeavours to rectify him."
shijing__xiaoya-jienanshan-001__010__zhwikisource-20260530__legge-sbe-v3-1879,xiaoya-jienanshan-001,exact_or_near_exact,0.99,10,詩經·小雅·節南山之什·001.10,家父作誦，以究王訩。式訛爾心，以畜萬邦。,節南山.10,"I, Kiâ-fû, have made this poem,
To lay bare the king's disorders.
If you would but change your heart,
Then would the myriad regions be nourished."
