alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-11-xianjin__001__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,1,論語 11.1,子曰：「先進於禮樂，野人也；後進於禮樂，君子也。如用之，則吾從先進。」,Analects I.1,"The Master said, ""The men of former times, in the matters of ceremonies and music were rustics, it is said, while the men of these latter times, in ceremonies and music, are accomplished gentlemen. ""If I have occasion to use those things, I follow the men of former times."""
lunyu__book-11-xianjin__002__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,2,論語 11.2,子曰：「從我於陳蔡者，皆不及門也。」德行：顏淵、閔子騫、冉伯牛、仲弓。言語：宰我、子貢。政事：冉有、季路。文學：子游、子夏。,Analects II.2,"The Master said, ""Of those who were with me in Ch'an and Ts'ai, there are none to be found to enter my door."" Distinguished for their virtuous principles and practice, there were Yen Yuan, Min Tsze-ch'ien, Zan Po-niu, and Chung-kung; for their ability in speech, Tsai Wo and Tsze-kung; for their administrative talents, Zan Yu and Chi Lu; for their literary acquirements, Tsze-yu and Tsze-hsia."
lunyu__book-11-xianjin__003__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,3,論語 11.3,子曰：「回也，非助我者也！於吾言，無所不說。」,Analects III.3,"The Master said, ""Hui gives me no assistance. There is nothing that I say in which he does not delight."""
lunyu__book-11-xianjin__004__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,4,論語 11.4,子曰：「孝哉，閔子騫！人不間於其父母昆弟之言。」,Analects IV.4,"The Master said, ""Filial indeed is Min Tsze-ch'ien! Other people say nothing of him different from the report of his parents and brothers."""
lunyu__book-11-xianjin__005__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,5,論語 11.5,南容三復《白圭》，孔子以其兄之子妻之。,Analects V.5,Nan Yung was frequently repeating the lines about a white scepter stone. Confucius gave him the daughter of his elder brother to wife.
lunyu__book-11-xianjin__006__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,6,論語 11.6,季康子問：「弟子孰爲好學？」孔子對曰：「有顏回者好學，不幸短命死矣。今也則亡。」,Analects VI.6,"Chi K'ang asked which of the disciples loved to learn. Confucius replied to him, ""There was Yen Hui; he loved to learn. Unfortunately his appointed time was short, and he died. Now there is no one who loves to learn, as he did."""
lunyu__book-11-xianjin__007__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,7,論語 11.7,顏淵死，顏路請子之車以爲之槨。子曰：「才不才，亦各言其子也。鯉也死，有棺而無槨。吾不徒行以爲之槨，以吾從大夫之後，不可徒行也。」,Analects VII.7,"When Yen Yuan died, Yen Lu begged the carriage of the Master to sell and get an outer shell for his son's coffin. The Master said, ""Every one calls his son his son, whether he has talents or has not talents. There was Li; when he died, he had a coffin but no outer shell. I would not walk on foot to get a shell for him, because, having followed in the rear of the great officers, it was not proper that I should walk on foot."""
lunyu__book-11-xianjin__008__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,8,論語 11.8,顏淵死，子曰：「噫！天喪予！天喪予！」,Analects VIII.8,"When Yen Yuan died, the Master said, ""Alas! Heaven is destroying me! Heaven is destroying me!"""
lunyu__book-11-xianjin__009__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,9,論語 11.9,顏淵死，子哭之慟。從者曰：「子慟矣！」曰：「有慟乎？非夫人之爲慟而誰爲？」,Analects IX.9,"When Yen Yuan died, the Master bewailed him exceedingly, and the disciples who were with him said, ""Master, your grief is excessive?"" ""Is it excessive?"" said he. ""If I am not to mourn bitterly for this man, for whom should I mourn?"""
lunyu__book-11-xianjin__010__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-11-xianjin,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,10,論語 11.10,顏淵死，門人欲厚葬之。子曰：「不可。」門人厚葬之。子曰：「回也，視予猶父也，予不得視猶子也；非我也，夫二三子也。」,Analects X.10,"When Yen Yuan died, the disciples wished to give him a great funeral, and the Master said, ""You may not do so."" The disciples did bury him in great style. The Master said, ""Hui behaved towards me as his father. I have not been able to treat him as my son. The fault is not mine; it belongs to you, O disciples."""
