alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-02-weizheng__001__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,1,論語 2.1,子曰：「爲政以德，譬如北辰，居其所，而眾星共之。」,Analects I.1,"The Master said, ""He who exercises government by means of his virtue may be compared to the north polar star, which keeps its place and all the stars turn towards it."""
lunyu__book-02-weizheng__002__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,2,論語 2.2,子曰：「詩三百，一言以蔽之，曰思無邪。」,Analects II.2,"The Master said, ""In the Book of Poetry are three hundred pieces, but the design of them all may be embraced in one sentence—'Having no depraved thoughts.'"""
lunyu__book-02-weizheng__003__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,3,論語 2.3,子曰：「道之以政，齊之以刑，民免而無恥；道之以德，齊之以禮，有恥且格。」,Analects III.3,"The Master said, ""If the people be led by laws, and uniformity sought to be given them by punishments, they will try to avoid the punishment, but have no sense of shame. ""If they be led by virtue, and uniformity sought to be given them by the rules of propriety, they will have the sense of shame, and moreover will become good."""
lunyu__book-02-weizheng__004__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,4,論語 2.4,子曰：「吾十有五而志于學；三十而立；四十而不惑；五十而知天命；六十而耳順；七十而從心所欲，不踰矩。」,Analects IV.4,"The Master said, ""At fifteen, I had my mind bent on learning. ""At thirty, I stood firm. ""At forty, I had no doubts. ""At fifty, I knew the decrees of Heaven. ""At sixty, my ear was an obedient organ for the reception of truth. ""At seventy, I could follow what my heart desired, without transgressing what was right."""
lunyu__book-02-weizheng__005__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,5,論語 2.5,孟懿子問孝。子曰：「無違。」樊遲御，子吿之曰：「孟孫問孝於我，我對曰：『無違。』」樊遲曰：「何謂也？」子曰：「生，事之以禮；死，葬之以禮，祭之以禮。」,Analects V.5,"Mang I asked what filial piety was. The Master said, ""It is not being disobedient."" Soon after, as Fan Ch'ih was driving him, the Master told him, saying, ""Mang-sun asked me what filial piety was, and I answered him,—'not being disobedient.'"" Fan Ch'ih said, ""What did you mean?"" The Master replied, ""That parents, when alive, be served according to propriety; that, when dead, they should be buried according to propriety; and that they should be sacrificed to according to propriety."""
lunyu__book-02-weizheng__006__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,6,論語 2.6,孟武伯問孝。子曰：「父母，唯其疾之憂。」,Analects VI.6,"Mang Wu asked what filial piety was. The Master said, ""Parents are anxious lest their children should be sick."""
lunyu__book-02-weizheng__007__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,7,論語 2.7,子游問孝。子曰：「今之孝者，是謂能養。至於犬馬，皆能有養。不敬，何以別乎？」,Analects VII.7,"Tsze-yu asked what filial piety was. The Master said, ""The filial piety of now-a-days means the support of one's parents. But dogs and horses likewise are able to do something in the way of support;—without reverence, what is there to distinguish the one support given from the other?"""
lunyu__book-02-weizheng__008__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,8,論語 2.8,子夏問孝。子曰：「色難。有事，弟子服其勞；有酒食，先生饌。曾是以爲孝乎？」,Analects VIII.8,"Tsze-hsia asked what filial piety was. The Master said, ""The difficulty is with the countenance. If, when their elders have any troublesome affairs, the young take the toil of them, and if, when the young have wine and food, they set them before their elders, is this to be considered filial piety?"""
lunyu__book-02-weizheng__009__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,9,論語 2.9,子曰：「吾與回言終日，不違如愚。退而省其私，亦足以發。回也不愚。」,Analects IX.9,"The Master said, ""I have talked with Hui for a whole day, and he has not made any objection to anything I said;—as if he were stupid. He has retired, and I have examined his conduct when away from me, and found him able to illustrate my teachings. Hui!—He is not stupid."""
lunyu__book-02-weizheng__010__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-02-weizheng,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,10,論語 2.10,子曰：「視其所以，觀其所由，察其所安，人焉廋哉！人焉廋哉！」,Analects X.10,"The Master said, ""See what a man does. ""Mark his motives. ""Examine in what things he rests. ""How can a man conceal his character? How can a man conceal his character?"""
