alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
liji-030-record-of-the-dykes__aligned-001,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,1,禮記·《坊記》 1,子言之：「君子之道，辟則坊與，坊民之所不足者也。」大為之坊，民猶逾之。故君子禮以坊德，刑以坊淫，命以坊欲。,禮記·《坊記》 1,"According to what the Masters said, the ways laid down by the superior men may be compared to dykes, the object of which is to conserve that in which the people may be deficient; and though they may be on a great scale, the people will yet pass over them. Therefore the superior men framed rules of ceremony for the conservation of virtue; punishments to serve as a barrier against licentiousness; and declared the allotments (of Heaven), as a barrier against evil desires."
liji-030-record-of-the-dykes__aligned-002,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,2,禮記·《坊記》 2,子云：「小人貧斯約，富斯驕；約斯盜，驕斯亂。」禮者，因人之情而為之節文，以為民坊者也。故聖人之制富貴也使民富不足以驕，貧不至於約，貴不慊於上，故亂益亡。,禮記·《坊記》 2,"The Master said, 'The small man, when poor, feels the pinch of his straitened circumstances; and when rich, is liable to become proud. Under the pinch of that poverty he may proceed to steal; and when proud, he may proceed to deeds of disorder. The rules of propriety recognise these feelings of men, and lay down definite regulations for them, to serve as dykes for the people. Hence the sages dealt with riches and honours, so that riches should not have power to make men proud; that poverty should not induce that feeling of being pinched; and that men in positions of honour should not be intractable to those above them. In this way the causes of disorder would more and more disappear.'"
liji-030-record-of-the-dykes__aligned-003,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,3,禮記·《坊記》 3,子云：「貧而好樂，富而好禮，眾而以寧者，天下其幾矣。《詩》云：『民之貪亂，寧為荼毒。』」故制：國不過千乘，都城不過百雉，家富不過百乘。以此坊民，諸侯猶有畔者。,禮記·《坊記》 3,"The Master said, 'Under heaven the cases are few in which the poor yet find enjoyment', the rich yet love the rules of propriety, and a family that is numerous (and strong) yet remains quiet and at peace. As it is said in the Book of Poetry (III, iii, ode 3, 11), ""The people desire disorder, And find enjoyment in bitter, poisonous ways."" Hence it was made the rule that no state should have more than 1000 chariots, no chief city's wall more than 100 embrasures, no family, however rich, more than 100 chariots. These regulations were intended for the protection of the people, and yet some of the lords of states rebelled against them.'"
liji-030-record-of-the-dykes__aligned-004,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,4,禮記·《坊記》 4,子云：「夫禮者，所以章疑別微，以為民坊者也。」故貴賤有等，衣服有別，朝廷有位，則民有所讓。,禮記·《坊記》 4,"The Master said, 'It is by the rules of ceremony that what is doubtful is displayed, and what is minute is distinguished, that they may serve as dykes for the people. Thus it is that there are the grades of the noble and the mean, the distinctions of dress, the different places at court; and so the people (are taught to) give place to one another.'"
liji-030-record-of-the-dykes__aligned-005,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,5,禮記·《坊記》 5,子云：「天無二日，土無二王，家無二主，尊無二上，示民有君臣之別也。」《春秋》不稱楚越之王喪，禮君不稱天，大夫不稱君，恐民之惑也。《詩》云：「相彼盍旦，尚猶患之。」,禮記·《坊記》 5,"The Master said, 'There are not two suns in the sky, nor two kings in a territory, nor two masters in a family, nor two superiors of equal honour; and the people are shown how the distinction between ruler and subject should be maintained. The Chun Qiu does not mention the funeral rites for the kings of Chu and Yue. According to the rules, the ruler of a state is not spoken of as ""Heaven's,"" and a Great officer is not spoken of as ""a ruler"" - lest the people should be led astray. It is said in the ode, ""Look at (that bird) which in the night calls out for the morning."" Even this is still occasion for being dissatisfied with it.'"
liji-030-record-of-the-dykes__aligned-006,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,6,禮記·《坊記》 6,子云：「君不與同姓同車，與異姓同車不同服，示民不嫌也。」以此坊民，民猶得同姓以弒其君。,禮記·《坊記》 6,"The Master said, 'A ruler does not ride in the same carriage with those of the same surname with himself; and when riding with those of a different surname, he wears a different dress - to show the people that they should avoid what may give rise to suspicion. This was intended to guard the people (from incurring suspicion), and yet they found that there were those of the same surname who murdered their ruler.'"
liji-030-record-of-the-dykes__aligned-007,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,7,禮記·《坊記》 7,子云：「君子辭貴不辭賤，辭富不辭貧，則亂益亡。」故君子與其使食浮於人也，寧使人浮於食。,禮記·《坊記》 7,"The Master said, 'The superior man will decline a position of high honour, but not one that is mean; and riches, but not poverty. In this way confusion and disorder will more and more disappear. 'Hence the superior man, rather than have his emoluments superior to his worth, will have his worth superior to his emoluments.'"
liji-030-record-of-the-dykes__aligned-008,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,8,禮記·《坊記》 8,子云：「觴酒豆肉讓而受惡，民猶犯齒；衽席之上讓而坐下，民猶犯貴；朝廷之位讓而就賤，民猶犯君。」《詩》云：「民之無良，相怨一方；受爵不讓，至于已斯亡。」,禮記·《坊記》 8,"The Master said, 'In the matter of a cup of liquor and a dish of meat, one may forego his claim and receive that which is less than his due; and yet the people will try to obtain more than is due to their years. When one's mat has been spread for him in a high place, he may move and take his seat on a lower; and yet the people will try to occupy the place due to rank. From the high place due to him at court one may in his humility move to a meaner place; and yet the people shall be intrusive even in the presence of the ruler. As it is said in the Book of Poetry (II, vii, ode 9, 4), ""When men in disputations fine, To hear their consciences refuse, Then 'gainst each other they repine, And each maintains his special views. If one a place of rank obtain, And scorn humility to show, The others view him with disdain, And, wrangling, all to ruin go.""'"
liji-030-record-of-the-dykes__aligned-009,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,9,禮記·《坊記》 9,子云：「君子貴人而賤己，先人而後己，則民作讓。」故稱人之君曰君，自稱其君曰寡君。,禮記·《坊記》 9,"The Master said, 'The superior man exalts others and abases himself; he gives the first place to others and takes the last himself - and thus the people are taught to be humble and yielding. Thus when he is speaking of the ruler of another state, he calls him ""The Ruler;"" but when mentioning his own ruler, he calls him ""Our ruler of little virtue.""'"
liji-030-record-of-the-dykes__aligned-010,liji,liji-030-record-of-the-dykes,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,10,禮記·《坊記》 10,子云：「利祿，先死者而後生者，則民不偝；先亡者而後存者，則民可以托。」《詩》云：「先君之思，以畜寡人。」以此坊民，民猶偝死而號無告。,禮記·《坊記》 10,"The Master said, 'When advantages and rewards are given to the dead first, and to the living afterwards, the people will not act contrarily to the (character of) the dead. When (the ruler) places those who are exiles (from and for their state) first, and those who remain in it last, the people may be trusted with (the most arduous duties). It is said in the Book of Poetry (1, iii, ode 3, 4), ""In thinking of our deceased lord, She stimulated worthless me."" When this dyke is set up for the people, will they still act contrarily to the dead and have to bewail their lot, with none to whom to appeal?'"
