alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-10-xiangdang__001__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,1,論語 10.1,孔子於鄉黨，恂恂如也，似不能言者。其在宗廟朝廷，便便言，唯謹爾。,Analects I.1,"Confucius, in his village, looked simple and sincere, and as if he were not able to speak. When he was in the prince's ancestorial temple, or in the court, he spoke minutely on every point, but cautiously."
lunyu__book-10-xiangdang__002__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,2,論語 10.2,朝與下大夫言，侃侃如也；與上大夫言，誾誾如也。君在，踧踖如也，與與如也。,Analects II.2,"When he was waiting at court, in speaking with the great officers of the lower grade, he spake freely, but in a straightforward manner; in speaking with those of the higher grade, he did so blandly, but precisely. When the ruler was present, his manner displayed respectful uneasiness; it was grave, but self-possessed."
lunyu__book-10-xiangdang__003__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,3,論語 10.3,君召使擯，色勃如也，足躩如也。揖所與立，左右手，衣前後，襜如也。趨進，翼如也。賓退，必復命，曰：「賓不顧矣。」,Analects III.3,"When the prince called him to employ him in the reception of a visitor, his countenance appeared to change, and his legs to move forward with difficulty. He inclined himself to the other officers among whom he stood, moving his left or right arm, as their position required, but keeping the skirts of his robe before and behind evenly adjusted. He hastened forward, with his arms like the wings of a bird. When the guest had retired, he would report to the prince, ""The visitor is not turning round any more."""
lunyu__book-10-xiangdang__004__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,4,論語 10.4,入公門，鞠躬如也，如不容。立不中門，行不履閾。過位，色勃如也，足躩如也，其言似不足者。攝齊升堂，鞠躬如也，屛氣似不息者。出，降一等，逞顏色，怡怡如也。沒階趨進，翼如也。復其位，踧踖如也。,Analects IV.4,"When he entered the palace gate, he seemed to bend his body, as if it were not sufficient to admit him. When he was standing, he did not occupy the middle of the gate-way; when he passed in or out, he did not tread upon the threshold. When he was passing the vacant place of the prince, his countenance appeared to change, and his legs to bend under him, and his words came as if he hardly had breath to utter them. He ascended the reception hall, holding up his robe with both his hands, and his body bent; holding in his breath also, as if he dared not breathe. When he came out from the audience, as soon as he had descended one step, he began to relax his countenance, and had a satisfied look. When he had got to the bottom of the steps, he advanced rapidly to his place, with his arms like wings, and on occupying it, his manner still showed respectful uneasiness."
lunyu__book-10-xiangdang__005__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,5,論語 10.5,執圭，鞠躬如也，如不勝。上如揖，下如授，勃如戰色，足蹜蹜如有循。享禮，有容色。私覿，愉愉如也。,Analects V.5,"When he was carrying the scepter of his ruler, he seemed to bend his body, as if he were not able to bear its weight. He did not hold it higher than the position of the hands in making a bow, nor lower than their position in giving anything to another. His countenance seemed to change, and look apprehensive, and he dragged his feet along as if they were held by something to the ground. In presenting the presents with which he was charged, he wore a placid appearance. At his private audience, he looked highly pleased."
lunyu__book-10-xiangdang__006__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,6,論語 10.6,君子不以紺緅飾，紅紫不以爲褻服；當暑，袗絺綌，必表而出之。緇衣羔裘，素衣麑裘，黃衣狐裘。褻裘長，短右袂。（必有寢衣，長一身有半。）狐貉之厚以居。去喪，無所不佩。非帷裳，必殺之。羔裘玄冠，不以弔。吉月，必朝服而朝。,Analects VI.6,"The superior man did not use a deep purple, or a puce colour, in the ornaments of his dress. Even in his undress, he did not wear anything of a red or reddish colour. In warm weather, he had a single garment either of coarse or fine texture, but he wore it displayed over an inner garment. Over lamb's fur he wore a garment of black; over fawn's fur one of white; and over fox's fur one of yellow. The fur robe of his undress was long, with the right sleeve short. He required his sleeping dress to be half as long again as his body. When staying at home, he used thick furs of the fox or the badger. When he put off mourning, he wore all the appendages of the girdle. His under-garment, except when it was required to be of the curtain shape, was made of silk cut narrow above and wide below. He did not wear lamb's fur or a black cap, on a visit of condolence. On the first day of the month he put on his court robes, and presented himself at court."
lunyu__book-10-xiangdang__007__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,7,論語 10.7,齊，必有明衣，布。齊必變食，居必遷坐。,Analects VII.7,"When fasting, he thought it necessary to have his clothes brightly clean and made of linen cloth. When fasting, he thought it necessary to change his food, and also to change the place where he commonly sat in the apartment."
lunyu__book-10-xiangdang__008__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,8,論語 10.8,食不厭精，膾不厭細。食饐而餲，魚餒而肉敗，不食。色惡不食，臭惡不食。失飪不食，不時不食。割不正不食，不得其醬不食。肉雖多，不使勝食氣。唯酒無量，不及亂。沽酒市脯不食。不撤薑食，不多食。祭于公，不宿肉。祭肉不出三日，出三日，不食之矣。食不語，寢不言。雖疏食菜羹瓜祭，必齊如也。,Analects VIII.8,"He did not dislike to have his rice finely cleaned, nor to have his minced meat cut quite small. He did not eat rice which had been injured by heat or damp and turned sour, nor fish or flesh which was gone. He did not eat what was discoloured, or what was of a bad flavour, nor anything which was ill-cooked, or was not in season. He did not eat meat which was not cut properly, nor what was served without its proper sauce. Though there might be a large quantity of meat, he would not allow what he took to exceed the due proportion for the rice. It was only in wine that he laid down no limit for himself, but he did not allow himself to be confused by it. He did not partake of wine and dried meat bought in the market. He was never without ginger when he ate. He did not eat much. When he had been assisting at the prince's sacrifice, he did not keep the flesh which he received overnight. The flesh of his family sacrifice he did not keep over three days. If kept over three days, people could not eat it. When eating, he did not converse. When in bed, he did not speak. Although his food might be coarse rice and vegetable soup, he would offer a little of it in sacrifice with a grave, respectful air."
lunyu__book-10-xiangdang__009__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,9,論語 10.9,席不正不坐。,Analects IX.9,"If his mat was not straight, he did not sit on it."
lunyu__book-10-xiangdang__010__zhwikisource-20260529__legge-cc-v1-1893,book-10-xiangdang,exact_or_near_exact,0.99,10,論語 10.10,鄉人飮酒，杖者出，斯出矣。鄉人儺，朝服而立於阼階。,Analects X.10,"When the villagers were drinking together, on those who carried staffs going out, he went out immediately after. When the villagers were going through their ceremonies to drive away pestilential influences, he put on his court robes and stood on the eastern steps."
