alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
lunyu__book-13-zilu__001__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,1,論語 13.1,子路問政。子曰：「先之，勞之。」請益，曰：「無倦。」,Analects I.1,"Tsze-lu asked about government. The Master said, ""Go before the people with your example, and be laborious in their affairs."" He requested further instruction, and was answered, ""Be not weary (in these things).""","Tsze-lu asked about government. The Master said, ""Go before the people with your example, and be laborious in their affairs."" He requested further instruction, and was answered, ""Be not weary (in these things).""",[]
lunyu__book-13-zilu__002__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,2,論語 13.2,仲弓爲季氏宰，問政。子曰：「先有司。赦小過。擧賢才。」曰：「焉知賢才而擧之？」曰：「擧爾所知。爾所不知，人其舍諸？」,Analects II.2,"Chung-kung, being chief minister to the Head of the Chi family, asked about government. The Master said, ""Employ first the services of your various officers, pardon small faults, and raise to office men of virtue and talents."" Chung-kung said, ""How shall I know the men of virtue and talent, so that I may raise them to office?"" He was answered, ""Raise to office those whom you know. As to those whom you do not know, will others neglect them?""","Chung-kung, being chief minister to the Head of the Chi family, asked about government. The Master said, ""Employ first the services of your various officers, pardon small faults, and raise to office men of virtue and talents."" Chung-kung said, ""How shall I know the men of virtue and talent, so that I may raise them to office?"" He was answered, ""Raise to office those whom you know. As to those whom you do not know, will others neglect them?""",[]
lunyu__book-13-zilu__003__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,3,論語 13.3,子路曰：「衞君待子而爲政，子將奚先？」子曰：「必也正名乎！」子路曰：「有是哉？子之迂也！奚其正？」子曰：「野哉，由也！君子於其所不知，蓋闕如也。名不正，則言不順；言不順，則事不成；事不成，則禮樂不興；禮樂不興，則刑罰不中；刑罰不中，則民無所措手足。故君子名之必可言也，言之必可行也。君子於其言，無所苟而已矣。」,Analects III.3,"Tsze-lu said, ""The ruler of Wei has been waiting for you, in order with you to administer the government. What will you consider the first thing to be done?"" The Master replied, ""What is necessary is to rectify names."" ""So, indeed!"" said Tsze-lu. ""You are wide of the mark! Why must there be such rectification?"" The Master said, ""How uncultivated you are, Yu! A superior man, in regard to what he does not know, shows a cautious reserve. ""If names be not correct, language is not in accordance with the truth of things. If language be not in accordance with the truth of things, affairs cannot be carried on to success. ""When affairs cannot be carried on to success, proprieties and music will not flourish. When proprieties and music do not flourish, punishments will not be properly awarded. When punishments are not properly awarded, the people do not know how to move hand or foot. ""Therefore a superior man considers it necessary that the names he uses may be spoken appropriately, and also that what he speaks may be carried out appropriately. What the superior man requires, is just that in his words there may be nothing incorrect.""","Tsze-lu said, ""The ruler of Wei has been waiting for you, in order with you to administer the government. What will you consider the first thing to be done?"" The Master replied, ""What is necessary is to rectify names."" ""So, indeed!"" said Tsze-lu. ""You are wide of the mark! Why must there be such rectification?"" The Master said, ""How uncultivated you are, Yu! A superior man, in regard to what he does not know, shows a cautious reserve. ""If names be not correct, language is not in accordance with the truth of things. If language be not in accordance with the truth of things, affairs cannot be carried on to success. ""When affairs cannot be carried on to success, proprieties and music will not flourish. When proprieties and music do not flourish, punishments will not be properly awarded. When punishments are not properly awarded, the people do not know how to move hand or foot. ""Therefore a superior man considers it necessary that the names he uses may be spoken appropriately, and also that what he speaks may be carried out appropriately. What the superior man requires, is just that in his words there may be nothing incorrect.""",[]
lunyu__book-13-zilu__004__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,4,論語 13.4,樊遲請學稼，子曰：「吾不如老農。」請學爲圃，曰：「吾不如老圃。」樊遲出，子曰：「小人哉，樊須也！上好禮，則民莫敢不敬；上好義，則民莫敢不服；上好信，則民莫敢不用情，夫如是，則四方之民，襁負其子而至矣，焉用稼？」,Analects IV.4,"Fan Ch'ih requested to be taught husbandry. The Master said, ""I am not so good for that as an old husbandman."" He requested also to be taught gardening, and was answered, ""I am not so good for that as an old gardener."" Fan Ch'ih having gone out, the Master said, ""A small man, indeed, is Fan Hsu! If a superior love propriety, the people will not dare not to be reverent. If he love righteousness, the people will not dare not to submit to his example. If he love good faith, the people will not dare not to be sincere. Now, when these things obtain, the people from all quarters will come to him, bearing their children on their backs;—what need has he of a knowledge of husbandry?""","Fan Ch'ih requested to be taught husbandry. The Master said, ""I am not so good for that as an old husbandman."" He requested also to be taught gardening, and was answered, ""I am not so good for that as an old gardener."" Fan Ch'ih having gone out, the Master said, ""A small man, indeed, is Fan Hsu! If a superior love propriety, the people will not dare not to be reverent. If he love righteousness, the people will not dare not to submit to his example. If he love good faith, the people will not dare not to be sincere. Now, when these things obtain, the people from all quarters will come to him, bearing their children on their backs;—what need has he of a knowledge of husbandry?""",[]
lunyu__book-13-zilu__005__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,5,論語 13.5,子曰：「誦詩三百，授之以政，不達。使於四方，不能專對；雖多，亦奚以爲？」,Analects V.5,"The Master said, ""Though a man may be able to recite the three hundred odes, yet if, when intrusted with a governmental charge, he knows not how to act, or if, when sent to any quarter on a mission, he cannot give his replies unassisted, notwithstanding the extent of his learning, of what practical use is it?""","The Master said, ""Though a man may be able to recite the three hundred odes, yet if, when intrusted with a governmental charge, he knows not how to act, or if, when sent to any quarter on a mission, he cannot give his replies unassisted, notwithstanding the extent of his learning, of what practical use is it?""",[]
lunyu__book-13-zilu__006__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,6,論語 13.6,子曰：「其身正，不令而行；其身不正，雖令不從。」,Analects VI.6,"The Master said, ""When a prince's personal conduct is correct, his government is effective without the issuing of orders. If his personal conduct is not correct, he may issue orders, but they will not be followed.""","The Master said, ""When a prince's personal conduct is correct, his government is effective without the issuing of orders. If his personal conduct is not correct, he may issue orders, but they will not be followed.""",[]
lunyu__book-13-zilu__007__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,7,論語 13.7,子曰：「魯衞之政，兄弟也。」,Analects VII.7,"The Master said, ""The governments of Lu and Wei are brothers.""","The Master said, ""The governments of Lu and Wei are brothers.""",[]
lunyu__book-13-zilu__008__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,8,論語 13.8,子謂衞公子荊，「善居室：始有，曰：『苟合矣；』少有，曰：『苟完矣。』富有，曰：『苟美矣。』」,Analects VIII.8,"The Master said of Ching, a scion of the ducal family of Wei, that he knew the economy of a family well. When he began to have means, he said, ""Ha! here is a collection!"" When they were a little increased, he said, ""Ha! this is complete!"" When he had become rich, he said, ""Ha! this is admirable!""","The Master said of Ching, a scion of the ducal family of Wei, that he knew the economy of a family well. When he began to have means, he said, ""Ha! here is a collection!"" When they were a little increased, he said, ""Ha! this is complete!"" When he had become rich, he said, ""Ha! this is admirable!""",[]
lunyu__book-13-zilu__009__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,9,論語 13.9,子適衞，冉有僕。子曰：「庶矣哉！」冉有曰：「既庶矣，又何加焉？」曰：「富之。」曰：「既富矣，又何加焉？」曰：「教之。」,Analects IX.9,"When the Master went to Wei, Zan Yu acted as driver of his carriage. The Master observed, ""How numerous are the people!"" Yu said, ""Since they are thus numerous, what more shall be done for them?"" ""Enrich them,"" was the reply. ""And when they have been enriched, what more shall be done?"" The Master said, ""Teach them.""","When the Master went to Wei, Zan Yu acted as driver of his carriage. The Master observed, ""How numerous are the people!"" Yu said, ""Since they are thus numerous, what more shall be done for them?"" ""Enrich them,"" was the reply. ""And when they have been enriched, what more shall be done?"" The Master said, ""Teach them.""",[]
lunyu__book-13-zilu__010__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-13-zilu,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,10,論語 13.10,子曰：「苟有用我者，期月而已可也，三年有成。」,Analects X.10,"The Master said, ""If there were (any of the princes) who would employ me, in the course of twelve months, I should have done something considerable. In three years, the government would be perfected.""","The Master said, ""If there were (any of the princes) who would employ me, in the course of twelve months, I should have done something considerable. In three years, the government would be perfected.""",[]
