alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
mozi-009-exaltation-of-the-virtuous-ii__align-0001,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,1,9.1 - 9.6,子墨子言曰：今王公大人之君人民，主社稷，治國家，欲脩保而勿失，故不察尚賢爲政之本也？何以知尚賢之爲政本也？曰：自貴且智者爲政乎愚且賤者，則治；自愚且賤者爲政乎貴且智者，則亂。,9.1 - 9.6,"Motse said: Now, in caring for the people, ruling the state, and governing the country, the rulers desire permanency and stability. But why do they not learn that exaltation of the virtuous is the foundation of government? How do we know exaltation of the virtuous is the foundation of government? When the honourable and wise run the government, the Ignorant and humble remain orderly; but when the ignorant and humble run the government, the honourable and wise become rebellious. Therefore we know exaltation of the virtuous is the foundation of government. The ancient sage-kings greatly emphasized the exaltation of the virtuous and the employment of the capable.","Motse said: Now, in caring for the people, ruling the state, and governing the country, the rulers desire permanency and stability. But why do they not learn that exaltation of the virtuous is the foundation of government? How do we know exaltation of the virtuous is the foundation of government? When the honourable and wise run the government, the Ignorant and humble remain orderly; but when the ignorant and humble run the government, the honourable and wise become rebellious. Therefore we know exaltation of the virtuous is the foundation of government. The ancient sage-kings greatly emphasized the exaltation of the virtuous and the employment of the capable.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0002,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,0.93,7,9.7 - 9.9,是以知尚賢之爲政本也。故古者聖王甚尊尚賢，而任使能，不黨父兄，不偏貴富，不嬖顏色。賢者，舉而上之，富而貴之，以爲官長。,9.7,"Without special consideration for relatives, for the rich and honoured or for the good-looking, they exalted and promoted the virtuous, enriched and honoured them, and made them governors and leaders.","Without special consideration for relatives, for the rich and honoured or for the good-looking, they exalted and promoted the virtuous, enriched and honoured them, and made them governors and leaders.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0003,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,10,9.10 - 9.12,不肖者抑而廢之，貧而賤之以爲徒役，是以民皆勸其賞，畏其罰，相率而爲賢者。以賢者衆，而不肖者寡，此謂進賢。然後聖人聽其言，迹其行，察其所能而愼予官，此謂事能。,9.8 - 9.13,"The vicious they kept back and banished, depossessed and degraded, and made labourers and servants. Thereupon people were all encouraged by rewards and threatened by punishments and strove with each the cdmtry w govern the country, those who were capable to administer the court were made to administer the court, and those who were capable in managing the districts were made to manage the districts. All those who had charge of the country, the court, and the districts were then the virtuous of the land. When the virtuous rules the country, he starts the day early and retires late, hearing lawsuits and attending to the government. As a result, the country is well governed and laws are justly administered. When the virtuous administers the court he retires late and wakes up early, collecting taxes from passes, markets, and on products from mountains, woods, waters, and land to fill the court.","The vicious they kept back and banished, depossessed and degraded, and made labourers and servants. Thereupon people were all encouraged by rewards and threatened by punishments and strove with each the cdmtry w govern the country, those who were capable to administer the court were made to administer the court, and those who were capable in managing the districts were made to manage the districts. All those who had charge of the country, the court, and the districts were then the virtuous of the land. When the virtuous rules the country, he starts the day early and retires late, hearing lawsuits and attending to the government. As a result, the country is well governed and laws are justly administered. When the virtuous administers the court he retires late and wakes up early, collecting taxes from passes, markets, and on products from mountains, woods, waters, and land to fill the court.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0004,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,13,9.13 - 9.14,故可使治國者，使治國。可使長官者，使長官。,9.14,"As a result, the court is filled and wealth is not wasted.","As a result, the court is filled and wealth is not wasted.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0005,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,3,2,exact_or_near_exact,0.93,15,9.15 - 9.17,可使治邑者，使治邑。凡所使治國家、官府、邑里，此皆國之賢者也。賢者之治國也，蚤朝晏退，聽獄治政，是以國家治而刑法正。,9.15 - 9.16,"When the virtuous manages the districts, he goes out before sunrise and comes back after sunset, plowing and sowing, planting and cultivating, and gathering harvests of grains. As a result, grains are in plenty and people are sufficiently supplied with food.","When the virtuous manages the districts, he goes out before sunrise and comes back after sunset, plowing and sowing, planting and cultivating, and gathering harvests of grains. As a result, grains are in plenty and people are sufficiently supplied with food.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0006,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,2,6,exact_or_near_exact,0.93,18,9.18 - 9.19,賢者之長官也，夜寢夙興，收斂關市、山林、澤梁之利，以實官府，是以官府實而財不散。賢者之治邑也，蚤出莫入，耕稼、樹藝、聚菽粟，是以菽粟多而民足乎食。,9.17 - 9.22,"Therefore when the country is well governed the laws are well administered, and when the court is filled the people are wealthy. For the higher sphere, the rulers had wherewith to make wine and cakes to do sacrifice and libation to Heaven and the spirits. For the countries outside, they had wherewith to provide the furs and money to befriend neighbouring feudal lords. For the people within, they had wherewith to feed the hungry and give rest to the tired. Above all these, they had means to cherish the virtuous. Therefore from above, Heaven and the spirits enrich them; from without, the feudal lords submit themselves to them; from within, the people show them affection, and the virtuous become loyal to them.","Therefore when the country is well governed the laws are well administered, and when the court is filled the people are wealthy. For the higher sphere, the rulers had wherewith to make wine and cakes to do sacrifice and libation to Heaven and the spirits. For the countries outside, they had wherewith to provide the furs and money to befriend neighbouring feudal lords. For the people within, they had wherewith to feed the hungry and give rest to the tired. Above all these, they had means to cherish the virtuous. Therefore from above, Heaven and the spirits enrich them; from without, the feudal lords submit themselves to them; from within, the people show them affection, and the virtuous become loyal to them.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0007,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,20,9.20,故國家治則刑法正，官府實則萬民富。,9.23,Hence they could have satisfaction in planning and success in execution.,Hence they could have satisfaction in planning and success in execution.,[]
mozi-009-exaltation-of-the-virtuous-ii__align-0008,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,21,9.21,上有以絜爲酒醴粢盛，以祭祀天鬼。,9.24,In defence they are strong and in attack victorious.,In defence they are strong and in attack victorious.,[]
mozi-009-exaltation-of-the-virtuous-ii__align-0009,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,22,9.22 - 9.25,外有以爲皮幣，與四鄰諸侯交接。內有以食飢息勞，將養其萬民，外有以懷天下之賢人。是故上者天鬼富之，外者諸侯與之，內者萬民親之，賢人歸之。以此謀事則得，舉事則成，入守則固，出誅則彊。,9.25 - 9.30,"How the way that enabled the sage-kings of the Three Dynasties, namely Yao, Shun Yii, T ang, Wen and Wu, to rule the empire and head the feudal lords was no other than this (principle of exaltation of the virtuous). However, if there is only the principle while the technique of its application is not known, then it would seem to be still incomplete. Therefore there should be laid down three rules. What are the three rules? They are: (I) when their rank (that of the virtuous) is not high, people would not show them respect; (2) when their emoluments are not liberal people would not place confidence in them; (3) when their orders are not final, people would not stand in awe before them. So the ancient sage-kings placed them high in rank, gave them liberal emoluments, trusted them with important charges, and decreed their orders to be final.","How the way that enabled the sage-kings of the Three Dynasties, namely Yao, Shun Yii, T ang, Wen and Wu, to rule the empire and head the feudal lords was no other than this (principle of exaltation of the virtuous). However, if there is only the principle while the technique of its application is not known, then it would seem to be still incomplete. Therefore there should be laid down three rules. What are the three rules? They are: (I) when their rank (that of the virtuous) is not high, people would not show them respect; (2) when their emoluments are not liberal people would not place confidence in them; (3) when their orders are not final, people would not stand in awe before them. So the ancient sage-kings placed them high in rank, gave them liberal emoluments, trusted them with important charges, and decreed their orders to be final.",[]
mozi-009-exaltation-of-the-virtuous-ii__align-0010,mozi,mozi-009-exaltation-of-the-virtuous-ii,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,26,9.26 - 9.29,故唯昔三代聖王堯、舜、禹、湯、文、武之所以王天下、正諸侯者，此亦其法已。旣曰若法，未知所以行之術，則事猶若未成，是以必爲置三本。何謂三本？曰：,9.31 - 9.36,"And all this was done not merely to reward their subordinates: it was to fulfil their trust. Thus runs an Ode: "" I am instructing you to take worries and cares of the world as your own; I am teaching the order of ranks for the virtuous and talented. Who can handle virtue even at such an early time as that of Confucius The Feat without rinsing; His' hands (in cold water) This is to show Fow in the: past the rulers could not do without befriending subordinates and helpers. It was like the necessity of rinsing in handling hot objects to relieve the hands. The ancient sage-kings concentrated on acquiring and employing the virtuous— honouring them with high ranks, and assigning land to them — unwearied to the end of their lives. The virtuous men on the other hand only hoped to find an enlightened ruler to serve— exhausting all the powers of the four limbs to attend to the king's business— untired to the end of their lives.","And all this was done not merely to reward their subordinates: it was to fulfil their trust. Thus runs an Ode: "" I am instructing you to take worries and cares of the world as your own; I am teaching the order of ranks for the virtuous and talented. Who can handle virtue even at such an early time as that of Confucius The Feat without rinsing; His' hands (in cold water) This is to show Fow in the: past the rulers could not do without befriending subordinates and helpers. It was like the necessity of rinsing in handling hot objects to relieve the hands. The ancient sage-kings concentrated on acquiring and employing the virtuous— honouring them with high ranks, and assigning land to them — unwearied to the end of their lives. The virtuous men on the other hand only hoped to find an enlightened ruler to serve— exhausting all the powers of the four limbs to attend to the king's business— untired to the end of their lives.",[]
