alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
mengzi__book-13-jinxin-shang__001__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,1,孟子 7A.1,孟子曰：「盡其心者，知其性也。知其性，則知天矣。存其心，養其性，所以事天也。夭壽不貳，修身以俟之，所以立命也。」,Jin Xin I.1,"Mencius said, 'He who has exhausted all his mental constitution knows his nature. Knowing his nature, he knows Heaven. To preserve one's mental constitution, and nourish one's nature, is the way to serve Heaven. When neither a premature death nor long life causes a man any double-mindedness, but he waits in the cultivation of his personal character for whatever issue; this is the way in which he establishes his Heaven-ordained being.'"
mengzi__book-13-jinxin-shang__002__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,2,孟子 7A.2,孟子曰：「莫非命也，順受其正。是故知命者，不立乎巖墻之下。盡其道而死者，正命也。桎梏死者，非正命也。」,Jin Xin I.2,"Mencius said, 'There is an appointment for everything. A man should receive submissively what may be correctly ascribed thereto. Therefore, he who has the true idea of what is Heaven's appointment will not stand beneath a precipitous wall. Death sustained in the discharge of one's duties may correctly be ascribed to the appointment of Heaven. Death under handcuffs and fetters cannot correctly be so ascribed.'"
mengzi__book-13-jinxin-shang__003__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,3,孟子 7A.3,孟子曰：「『求則得之，舍則失之』，是求有益於得也，求在我者也。『求之有道，得之有命』，是求無益於得也，求在外者也。」,Jin Xin I.3,"Mencius said, 'When we get by our seeking and lose by our neglecting - in that case seeking is of use to getting, and the things sought for are those which are in ourselves. When the seeking is according to the proper course, and the getting is only as appointed - in that case the seeking is of no use to getting, and the things sought are without ourselves.'"
mengzi__book-13-jinxin-shang__004__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,4,孟子 7A.4,孟子曰：「萬物皆備於我矣，反身而誠，樂莫大焉。強恕而行，求仁莫近焉。」,Jin Xin I.4,"Mencius said, 'All things are already complete in us. There is no greater delight than to be conscious of sincerity on self-examination. If one acts with a vigorous effort at the law of reciprocity, when he seeks for the realization of perfect virtue, nothing can be closer than his approximation to it.'"
mengzi__book-13-jinxin-shang__005__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,5,孟子 7A.5,孟子曰：「行之而不著焉，習矣而不察焉，終身由之而不知其道者，眾也。」,Jin Xin I.5,"Mencius said, 'To act without understanding, and to do so habitually without examination, pursuing the proper path all the life without knowing its nature - this is the way of multitudes.'"
mengzi__book-13-jinxin-shang__006__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,6,孟子 7A.6,孟子曰：「人不可以無恥。無恥之恥，無恥矣。」,Jin Xin I.6,"Mencius said, 'A man may not be without shame. When one is ashamed of having been without shame, he will afterwards not have occasion to be ashamed.'"
mengzi__book-13-jinxin-shang__007__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.99,7,孟子 7A.7,孟子曰：「恥之於人大矣。為機變之巧者，無所用恥焉。不恥不若人，何若人有？」,Jin Xin I.7,"Mencius said, 'The sense of shame is to a man of great importance. Those who form contrivances and versatile schemes distinguished for their artfulness, do not allow their sense of shame to come into action. When one differs from other men in not having this sense of shame, what will he have in common with them?'"
mengzi__book-13-jinxin-shang__008__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.98,8,孟子 7A.8,孟子曰：「古之賢王，好善而忘勢。古之賢士，何獨不然？樂其道而忘人之勢。故王公不致敬盡禮，則不得亟見之。見且由不得亟，而況得而臣之乎？」,Jin Xin I.8,"Mencius said, 'The able and virtuous monarchs of antiquity loved virtue and forgot their power. And shall an exception be made of the able and virtuous scholars of antiquity, that they did not do the same? They delighted in their own principles, and were oblivious of the power of princes. Therefore, if kings and dukes did not show the utmost respect, and observe all forms of ceremony, they were not permitted to come frequently and visit them. If they thus found it not in their power to pay them frequent visits, how much less could they get to employ them as ministers?'"
mengzi__book-13-jinxin-shang__009__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.97,9,孟子 7A.9,孟子謂宋句踐曰：「子好游乎？吾語子游：人知之亦囂囂，人不知亦囂囂。」曰：「何如斯可以囂囂矣？」曰：「尊德樂義，則可以囂囂矣。故士窮不失義，達不離道。窮不失義，故士得己焉。達不離道，故民不失望焉。古之人，得志，澤加於民；不得志，修身見於世。窮則獨善其身；達則兼善天下。」,Jin Xin I.9,"Mencius said to Song Gou Jian, 'Are you fond, Sir, of travelling to the different courts? I will tell you about such travelling. If a prince acknowledge you and follow your counsels, be perfectly satisfied. If no one do so, be the same.' Gou Jian said, 'What is to be done to secure this perfect satisfaction?' Mencius replied, 'Honour virtue and delight in righteousness, and so you may always be perfectly satisfied. Therefore, a scholar, though poor, does not let go his righteousness; though prosperous, he does not leave his own path. Poor and not letting righteousness go - it is thus that the scholar holds possession of himself. Prosperous and not leaving the proper path - it is thus that the expectations of the people from him are not disappointed. When the men of antiquity realized their wishes, benefits were conferred by them on the people. If they did not realize their wishes, they cultivated their personal character, and became illustrious in the world. If poor, they attended to their own virtue in solitude; if advanced to dignity, they made the whole kingdom virtuous as well.'"
mengzi__book-13-jinxin-shang__010__zhwikisource-20260530__legge-cc-v2-1895,mengzi,book-13-jinxin-shang,section,passage,passage,False,,1,1,exact_or_near_exact,0.96,10,孟子 7A.10,孟子曰：「待文王而後興者，凡民也。若夫豪杰之士，雖無文王猶興。」,Jin Xin I.10,"Mencius said, 'The mass of men wait for a king Wen, and then they will receive a rousing impulse. Scholars distinguished from the mass, without a king Wan, rouse themselves.'"
