alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
laozi-chapter-038__align-001,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,1.0,1,老子 38.1 - 老子 38.3,上德不德，是以有德；下德不失德，,老子 38.1,"(Those who) possessed in highest degree the attributes (of the Dao) did not (seek) to show them, and therefore they possessed them (in fullest measure).","(Those who) possessed in highest degree the attributes (of the Dao) did not (seek) to show them, and therefore they possessed them (in fullest measure).",[]
laozi-chapter-038__align-002,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,4,老子 38.4 - 老子 38.5,是以無德。上德無為而無以為，,老子 38.2,"(Those who) possessed in a lower degree those attributes (sought how) not to lose them, and therefore they did not possess them (in fullest measure).","(Those who) possessed in a lower degree those attributes (sought how) not to lose them, and therefore they did not possess them (in fullest measure).",[]
laozi-chapter-038__align-003,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,6,老子 38.6,下德為之而有以為。,老子 38.3,"(Those who) possessed in the highest degree those attributes did nothing (with a purpose), and had no need to do anything.","(Those who) possessed in the highest degree those attributes did nothing (with a purpose), and had no need to do anything.",[]
laozi-chapter-038__align-004,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,7,老子 38.7,上仁為之而無以為，,老子 38.4,"(Those who) possessed them in a lower degree were (always) doing, and had need to be so doing.","(Those who) possessed them in a lower degree were (always) doing, and had need to be so doing.",[]
laozi-chapter-038__align-005,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,3,2,exact_or_near_exact,1.0,8,老子 38.8 - 老子 38.10,上義為之而有以為。上禮為之而莫之應，則攘臂而扔之。,老子 38.5 - 老子 38.6,"(Those who) possessed the highest benevolence were (always seeking) to carry it out, and had no need to be doing so. (Those who) possessed the highest righteousness were (always seeking) to carry it out, and had need to be so doing.","(Those who) possessed the highest benevolence were (always seeking) to carry it out, and had no need to be doing so. (Those who) possessed the highest righteousness were (always seeking) to carry it out, and had need to be so doing.",[]
laozi-chapter-038__align-006,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,1.0,11,老子 38.11 - 老子 38.13,故失道而後德，失德而後仁，失仁而後義，,老子 38.7,"(Those who) possessed the highest (sense of) propriety were (always seeking) to show it, and when men did not respond to it, they bared the arm and marched up to them.","(Those who) possessed the highest (sense of) propriety were (always seeking) to show it, and when men did not respond to it, they bared the arm and marched up to them.",[]
laozi-chapter-038__align-007,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,14,老子 38.14,失義而後禮。,老子 38.8,"Thus it was that when the Dao was lost, its attributes appeared;","Thus it was that when the Dao was lost, its attributes appeared;",[]
laozi-chapter-038__align-008,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,15,老子 38.15,夫禮者，,老子 38.9,"when its attributes were lost, benevolence appeared;","when its attributes were lost, benevolence appeared;",[]
laozi-chapter-038__align-009,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,16,老子 38.16,忠信之薄，,老子 38.10,"when benevolence was lost, righteousness appeared;","when benevolence was lost, righteousness appeared;",[]
laozi-chapter-038__align-010,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,17,老子 38.17,而亂之首。,老子 38.11,"and when righteousness was lost, the proprieties appeared.","and when righteousness was lost, the proprieties appeared.",[]
laozi-chapter-038__align-011,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,1.0,18,老子 38.18 - 老子 38.20,前識者，道之華，而愚之始。,老子 38.12,"Now propriety is the attenuated form of leal-heartedness and good faith, and is also the commencement of disorder;","Now propriety is the attenuated form of leal-heartedness and good faith, and is also the commencement of disorder;",[]
laozi-chapter-038__align-012,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,21,老子 38.21,是以大丈夫處其厚，,老子 38.13,"swift apprehension is (only) a flower of the Dao, and is the beginning of stupidity.","swift apprehension is (only) a flower of the Dao, and is the beginning of stupidity.",[]
laozi-chapter-038__align-013,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,22,老子 38.22 - 老子 38.23,不居其薄；處其實，,老子 38.14,"Thus it is that the Great man abides by what is solid, and eschews what is flimsy;","Thus it is that the Great man abides by what is solid, and eschews what is flimsy;",[]
laozi-chapter-038__align-014,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,24,老子 38.24,不居其華。,老子 38.15,dwells with the fruit and not with the flower.,dwells with the fruit and not with the flower.,[]
laozi-chapter-038__align-015,laozi,laozi-chapter-038,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,25,老子 38.25,故去彼取此。,老子 38.16,It is thus that he puts away the one and makes choice of the other.,It is thus that he puts away the one and makes choice of the other.,[]
