alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
mozi-014-universal-love-i__align-0001,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,2,5,exact_or_near_exact,0.93,1,14.1 - 14.2,聖人以治天下爲事者也，必知亂之所自起，焉能治之。不知亂之所自起，則不能治。,14.1 - 14.5,"Uhiveesal Lo?b (I) ' j The wise man who has charge of governing the empire j should know the cause of disorder before he can put it in order. Unless he knows its cause, he cannot regulate it. It is similar to the problem of a physician who is attending a patient. He has to know the cause of the ailment before he can cure it. Unless he knows its cause he cannot cure it."
mozi-014-universal-love-i__align-0002,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,5,6,exact_or_near_exact,0.93,3,14.3 - 14.7,譬之如醫之攻人之疾者然，必知疾之所自起，焉能攻之。不知疾之所自起，則弗能攻。治亂者何獨不然？必知亂之所自起，焉能治之。不知亂之所自起，則弗能治。,14.6 - 14.11,"How is the situation different for him who is to regulate disorder? He too has to know the cause of the disorder before he can regulate it. Unless he knows its cause he cannot regulate it. The wise man who has charge of governing the empire must, then, investigate the cause of disorder. Suppose we try to locate the cause of disorder, we shall j find it lies in the want of mutual love. What is called disorder; is just the lack of filial piety on the part of the minister: and the son towards the emperor and the father."
mozi-014-universal-love-i__align-0003,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,0.93,8,14.8 - 14.10,聖人以治天下爲事者也，不可不察亂之所自起。當察亂何自起？起不相愛。,14.12,As he loves himself and not his father the son benefits himself to the disadvantage of his father.
mozi-014-universal-love-i__align-0004,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,11,14.11 - 14.16,臣子之不孝君父，所謂亂也。子自愛，不愛父，故虧父而自利。弟自愛，不愛兄，故虧兄而自利。臣自愛，不愛君，故虧君而自利。此所謂亂也。雖父之不慈子，兄之不慈弟，君之不慈臣，此亦天下之所謂亂也。,14.13 - 14.18,"As he lo'ves himself and not his elder brother, the younger brother benefits himself to the disadvantage of his elder brother. As he loves himself and not his emperor, the minister benefits himself to the Yuan edition of the text which is inferior to Sun Yi Jang, and his own reading of that edition is also incorrect on a few points. / disadvantage of his emperor. And these are what is called disorder. When the father shows no affection to the son, when the elder brother shows no affection to the younger brother, and when the emperor shows no affection to the minister, on the other hand, it is also called disorder. When the father loves only himself and not the son, he benefits himself to the disadvantage of the son."
mozi-014-universal-love-i__align-0005,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,5,2,exact_or_near_exact,0.93,17,14.17 - 14.21,父自愛也，不愛子，故虧子而自利。兄自愛也，不愛弟，故虧弟而自利。君自愛也，不愛臣，故虧臣而自利。是何也？皆起不相愛。,14.19 - 14.20,"When the elder brother loves only himself and not his younger brother, he benefits himself to the disadvantage of the younger brother. When the emperor loves only himself and not his minister, he benefits himself to the disadvantage of his minister, and the reason for all these is want of mutual love."
mozi-014-universal-love-i__align-0006,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,22,14.22,雖至天下之爲盜賊者亦然。,14.21,This is true even among thieves and robbers.
mozi-014-universal-love-i__align-0007,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,4,2,exact_or_near_exact,0.93,23,14.23 - 14.26,盜愛其室，不愛其異室，故竊異室以利其室。賊愛其身，不愛人，故賊人以利其身。此何也？皆起不相愛。,14.22 - 14.23,"As he loves only his own family and not other families, the thief steals from other families to profit his own family. As he loves only his own person and not others, the robber does violence to others to profit himself."
mozi-014-universal-love-i__align-0008,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,27,14.27,雖至大夫之相亂家、諸侯之相攻國者亦然。,14.24,And the reason for all this is want of love.
mozi-014-universal-love-i__align-0009,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,28,14.28 - 14.31,大夫各愛其家，不愛異家，故亂異家以利其家。諸侯各愛其國，不愛異國，故攻異國以利其國。天下之亂物，具此而已矣！察此何自起，皆起不相愛。,14.25 - 14.30,"This again is true in the mutual disturbance among the houses of the ministers and the mutual invasions among the states of the feudal lords. As he loves only his own house and not the others, the minister disturbs the other houses to profit his own. As he loves only his own state and not the others, the feudal lord attacks the other states to profit his own. These instances exhaust the confusion in the world. And when we look into the causes we find they all arise from want of mutual love. Suppose everybody in the world loves universally, loving others as one’s self."
mozi-014-universal-love-i__align-0010,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,3,2,exact_or_near_exact,0.93,32,14.32 - 14.34,若使天下兼相愛，愛人若愛其身，猶有不孝者乎？視父、兄與君若其身，惡施不孝？猶有不慈者乎？,14.31 - 14.32,"Will there yet be any unfilial individual? When every one regards his father, elder brother, and emperor i as himself, whereto can he direct any unfilial feeling?"
mozi-014-universal-love-i__align-0011,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,35,14.35,視弟子與臣若其身，惡施不慈？,14.33,Will there still be any unaffeetionate incliviclnal?
mozi-014-universal-love-i__align-0012,mozi,mozi-014-universal-love-i,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,36,14.36 - 14.37,故不孝、不慈、亡有，猶有盜賊乎？故視人之室若其室，誰竊？,14.34,"When, every one regards his younger brother son., and niiiiistor as himself, whereto can he direct any disaffection?"
